model,model_type,co-bps,vel R2,psth R2,params
baseline,lagged_pca_latent_regression,0.04176870805106905,0.2441094526839589,-24.082895667230886,"{""history_bins"": 5, ""input_transform"": ""sqrt_zscore"", ""n_components"": 20, ""ridge_alpha"": 0.1}"
improved,lagged_pca_latent_regression,0.04859667651088111,0.3730257369981418,-24.06262929526899,"{""history_bins"": 9, ""input_transform"": ""sqrt_zscore"", ""n_components"": 20, ""ridge_alpha"": 0.1}"
